Route_ID,Direction,Total_Trips
FR-01,Forward,17
FR-01,Backward,16
FR-03A,Forward,97
FR-03A,Backward,90
FR-04,Forward,97
FR-04,Backward,97
FR-04A,Forward,33
FR-04A,Backward,32
FR-04B,Forward,N/A
FR-04B,Backward,N/A
FR-05,Forward,193
FR-05,Backward,193
FR-06,Forward,17
FR-06,Backward,16
FR-07,Forward,97
FR-07,Backward,94
FR-08A,Forward,209
FR-08A,Backward,46
FR-08C,Forward,48
FR-08C,Backward,45
FR-09,Forward,65
FR-09,Backward,63
FR-10,Forward,19
FR-10,Backward,15
FR-11,Forward,19
FR-11,Backward,16
FR-12,Forward,12
FR-12,Backward,12
FR-13,Forward,13
FR-13,Backward,13
FR-14,Forward,65
FR-14,Backward,61
FR-14A,Forward,65
FR-14A,Backward,63
FR-15,Forward,33
FR-15,Backward,32
