StopName,ArrivalTime,DepartureTime
D-12,06:00:00,06:00:00
D-12 Markaz,06:01:10,06:01:30
IESCO D-12,06:02:50,06:03:10
D-12 Service Road,06:05:20,06:05:40
E-11/2 / FECHS / Islamabad International Hospite,06:08:10,06:08:30
Multy Stop/Islamabad Gardens,06:11:20,06:11:40
NPF Housing Society,06:13:10,06:13:30
Khayaban e Iqbal,06:16:00,06:16:20
Sumbal Road,06:18:35,06:18:55
G10/G11,06:21:25,06:21:45
Sunday Bazar,06:24:25,06:24:45
G-10 Metro Station,06:25:55,06:26:15
Police Foundation,06:28:35,06:28:55
Nust Metro Station,06:32:15,06:32:15
D-12,06:05:00,06:05:00
D-12 Markaz,06:06:10,06:06:30
IESCO D-12,06:07:50,06:08:10
D-12 Service Road,06:10:20,06:10:40
E-11/2 / FECHS / Islamabad International Hospite,06:13:10,06:13:30
Multy Stop/Islamabad Gardens,06:16:20,06:16:40
NPF Housing Society,06:18:10,06:18:30
Khayaban e Iqbal,06:21:00,06:21:20
Sumbal Road,06:23:35,06:23:55
G10/G11,06:26:25,06:26:45
Sunday Bazar,06:29:25,06:29:45
G-10 Metro Station,06:30:55,06:31:15
Police Foundation,06:33:35,06:33:55
Nust Metro Station,06:37:15,06:37:15
D-12,06:10:00,06:10:00
D-12 Markaz,06:11:10,06:11:30
IESCO D-12,06:12:50,06:13:10
D-12 Service Road,06:15:20,06:15:40
E-11/2 / FECHS / Islamabad International Hospite,06:18:10,06:18:30
Multy Stop/Islamabad Gardens,06:21:20,06:21:40
NPF Housing Society,06:23:10,06:23:30
Khayaban e Iqbal,06:26:00,06:26:20
Sumbal Road,06:28:35,06:28:55
G10/G11,06:31:25,06:31:45
Sunday Bazar,06:34:25,06:34:45
G-10 Metro Station,06:35:55,06:36:15
Police Foundation,06:38:35,06:38:55
Nust Metro Station,06:42:15,06:42:15
D-12,06:15:00,06:15:00
D-12 Markaz,06:16:10,06:16:30
IESCO D-12,06:17:50,06:18:10
D-12 Service Road,06:20:20,06:20:40
E-11/2 / FECHS / Islamabad International Hospite,06:23:10,06:23:30
Multy Stop/Islamabad Gardens,06:26:20,06:26:40
NPF Housing Society,06:28:10,06:28:30
Khayaban e Iqbal,06:31:00,06:31:20
Sumbal Road,06:33:35,06:33:55
G10/G11,06:36:25,06:36:45
Sunday Bazar,06:39:25,06:39:45
G-10 Metro Station,06:40:55,06:41:15
Police Foundation,06:43:35,06:43:55
Nust Metro Station,06:47:15,06:47:15
D-12,06:20:00,06:20:00
D-12 Markaz,06:21:10,06:21:30
IESCO D-12,06:22:50,06:23:10
D-12 Service Road,06:25:20,06:25:40
E-11/2 / FECHS / Islamabad International Hospite,06:28:10,06:28:30
Multy Stop/Islamabad Gardens,06:31:20,06:31:40
NPF Housing Society,06:33:10,06:33:30
Khayaban e Iqbal,06:36:00,06:36:20
Sumbal Road,06:38:35,06:38:55
G10/G11,06:41:25,06:41:45
Sunday Bazar,06:44:25,06:44:45
G-10 Metro Station,06:45:55,06:46:15
Police Foundation,06:48:35,06:48:55
Nust Metro Station,06:52:15,06:52:15
D-12,06:25:00,06:25:00
D-12 Markaz,06:26:10,06:26:30
IESCO D-12,06:27:50,06:28:10
D-12 Service Road,06:30:20,06:30:40
E-11/2 / FECHS / Islamabad International Hospite,06:33:10,06:33:30
Multy Stop/Islamabad Gardens,06:36:20,06:36:40
NPF Housing Society,06:38:10,06:38:30
Khayaban e Iqbal,06:41:00,06:41:20
Sumbal Road,06:43:35,06:43:55
G10/G11,06:46:25,06:46:45
