StopName,ArrivalTime,DepartureTime
Capt. Naeem Tufail Shaheed Chow,07:10:00,07:10:00
Tamma Stop,07:11:30,07:11:50
COMSATS University,07:13:40,07:14:00
Hostel City,07:15:40,07:16:00
Gulshan Al Huda Community,07:18:00,07:18:20
Chatta Bakhtawar,07:19:55,07:20:15
Green Avenue,07:22:15,07:22:35
Park View City,07:24:05,07:24:25
Shahzad Town,07:26:55,07:27:15
N.I.H Allergy Center,07:28:50,07:29:10
N.A.R.C Colony,07:31:20,07:31:40
Rawal Dam Colony,07:32:40,07:33:00
School Board Stop,07:33:55,07:34:15
Rawal Town,07:35:45,07:36:05
Garden Avenue,07:37:45,07:38:05
Margalla Town,07:40:35,07:40:55
ITP Driving License Centre,07:43:25,07:43:45
Faizabad,07:46:40,07:47:00
Kach Naar Park I-8,07:49:30,07:49:50
H-8,07:52:00,07:52:20
TNT,07:54:35,07:54:55
Children Hospital,07:55:00,07:55:20
PIMS Hospital,07:56:15,07:56:15
Capt. Naeem Tufail Shaheed Chow,07:30:00,07:30:00
Tamma Stop,07:31:30,07:31:50
COMSATS University,07:33:40,07:34:00
Hostel City,07:35:40,07:36:00
Gulshan Al Huda Community,07:38:00,07:38:20
Chatta Bakhtawar,07:39:55,07:40:15
Green Avenue,07:42:15,07:42:35
Park View City,07:44:05,07:44:25
Shahzad Town,07:46:55,07:47:15
N.I.H Allergy Center,07:48:50,07:49:10
N.A.R.C Colony,07:51:20,07:51:40
Rawal Dam Colony,07:52:40,07:53:00
School Board Stop,07:53:55,07:54:15
Rawal Town,07:55:45,07:56:05
Garden Avenue,07:57:45,07:58:05
Margalla Town,08:00:35,08:00:55
ITP Driving License Centre,08:03:25,08:03:45
Faizabad,08:06:40,08:07:00
Kach Naar Park I-8,08:09:30,08:09:50
H-8,08:12:00,08:12:20
TNT,08:14:35,08:14:55
Children Hospital,08:15:00,08:15:20
PIMS Hospital,08:16:15,08:16:15
Capt. Naeem Tufail Shaheed Chow,07:50:00,07:50:00
Tamma Stop,07:51:30,07:51:50
COMSATS University,07:53:40,07:54:00
Hostel City,07:55:40,07:56:00
Gulshan Al Huda Community,07:58:00,07:58:20
Chatta Bakhtawar,07:59:55,08:00:15
Green Avenue,08:02:15,08:02:35
Park View City,08:04:05,08:04:25
Shahzad Town,08:06:55,08:07:15
N.I.H Allergy Center,08:08:50,08:09:10
N.A.R.C Colony,08:11:20,08:11:40
Rawal Dam Colony,08:12:40,08:13:00
School Board Stop,08:13:55,08:14:15
Rawal Town,08:15:45,08:16:05
Garden Avenue,08:17:45,08:18:05
Margalla Town,08:20:35,08:20:55
ITP Driving License Centre,08:23:25,08:23:45
Faizabad,08:26:40,08:27:00
Kach Naar Park I-8,08:29:30,08:29:50
H-8,08:32:00,08:32:20
TNT,08:34:35,08:34:55
Children Hospital,08:35:00,08:35:20
PIMS Hospital,08:36:15,08:36:15
Capt. Naeem Tufail Shaheed Chow,08:10:00,08:10:00
Tamma Stop,08:11:30,08:11:50
COMSATS University,08:13:40,08:14:00
Hostel City,08:15:40,08:16:00
Gulshan Al Huda Community,08:18:00,08:18:20
Chatta Bakhtawar,08:19:55,08:20:15
Green Avenue,08:22:15,08:22:35
Park View City,08:24:05,08:24:25
Shahzad Town,08:26:55,08:27:15
N.I.H Allergy Center,08:28:50,08:29:10
N.A.R.C Colony,08:31:20,08:31:40
Rawal Dam Colony,08:32:40,08:33:00
School Board Stop,08:33:55,08:34:15
Rawal Town,08:35:45,08:36:05
Garden Avenue,08:37:45,08:38:05
Margalla Town,08:40:35,08:40:55
ITP Driving License Centre,08:43:25,08:43:45
Faizabad,08:46:40,08:47:00
Kach Naar Park I-8,08:49:30,08:49:50
H-8,08:52:00,08:52:20
TNT,08:54:35,08:54:55
Children Hospital,08:55:00,08:55:20
PIMS Hospital,08:56:15,08:56:15
Capt. Naeem Tufail Shaheed Chow,08:30:00,08:30:00
Tamma Stop,08:31:30,08:31:50
COMSATS University,08:33:40,08:34:00
Hostel City,08:35:40,08:36:00
Gulshan Al Huda Community,08:38:00,08:38:20
Chatta Bakhtawar,08:39:55,08:40:15
Green Avenue,08:42:15,08:42:35
Park View City,08:44:05,08:44:25
Shahzad Town,08:46:55,08:47:15
N.I.H Allergy Center,08:48:50,08:49:10
N.A.R.C Colony,08:51:20,08:51:40
Rawal Dam Colony,08:52:40,08:53:00
School Board Stop,08:53:55,08:54:15
Rawal Town,08:55:45,08:56:05
Garden Avenue,08:57:45,08:58:05
Margalla Town,09:00:35,09:00:55
ITP Driving License Centre,09:03:25,09:03:45
Faizabad,09:06:40,09:07:00
Kach Naar Park I-8,09:09:30,09:09:50
H-8,09:12:00,09:12:20
TNT,09:14:35,09:14:55
Children Hospital,09:15:00,09:15:20
PIMS Hospital,09:16:15,09:16:15
Capt. Naeem Tufail Shaheed Chow,08:50:00,08:50:00
Tamma Stop,08:51:30,08:51:50
COMSATS University,08:53:40,08:54:00
Hostel City,08:55:40,08:56:00
Gulshan Al Huda Community,08:58:00,08:58:20
Chatta Bakhtawar,08:59:55,09:00:15
Green Avenue,09:02:15,09:02:35
Park View City,09:04:05,09:04:25
Shahzad Town,09:06:55,09:07:15
N.I.H Allergy Center,09:08:50,09:09:10
N.A.R.C Colony,09:11:20,09:11:40
Rawal Dam Colony,09:12:40,09:13:00
School Board Stop,09:13:55,09:14:15
Rawal Town,09:15:45,09:16:05
Garden Avenue,09:17:45,09:18:05
Margalla Town,09:20:35,09:20:55
ITP Driving License Centre,09:23:25,09:23:45
Faizabad,09:26:40,09:27:00
Kach Naar Park I-8,09:29:30,09:29:50
H-8,09:32:00,09:32:20
TNT,09:34:35,09:34:55
Children Hospital,09:35:00,09:35:20
PIMS Hospital,09:36:15,09:36:15
Capt. Naeem Tufail Shaheed Chow,09:10:00,09:10:00
Tamma Stop,09:11:30,09:11:50
COMSATS University,09:13:40,09:14:00
Hostel City,09:15:40,09:16:00
Gulshan Al Huda Community,09:18:00,09:18:20
Chatta Bakhtawar,09:19:55,09:20:15
Green Avenue,09:22:15,09:22:35
Park View City,09:24:05,09:24:25
Shahzad Town,09:26:55,09:27:15
N.I.H Allergy Center,09:28:50,09:29:10
N.A.R.C Colony,09:31:20,09:31:40
Rawal Dam Colony,09:32:40,09:33:00
School Board Stop,09:33:55,09:34:15
Rawal Town,09:35:45,09:36:05
Garden Avenue,09:37:45,09:38:05
Margalla Town,09:40:35,09:40:55
ITP Driving License Centre,09:43:25,09:43:45
Faizabad,09:46:40,09:47:00
Kach Naar Park I-8,09:49:30,09:49:50
H-8,09:52:00,09:52:20
TNT,09:54:35,09:54:55
Children Hospital,09:55:00,09:55:20
PIMS Hospital,09:56:15,09:56:15
Capt. Naeem Tufail Shaheed Chow,09:30:00,09:30:00
Tamma Stop,09:31:30,09:31:50
COMSATS University,09:33:40,09:34:00
Hostel City,09:35:40,09:36:00
Gulshan Al Huda Community,09:38:00,09:38:20
Chatta Bakhtawar,09:39:55,09:40:15
Green Avenue,09:42:15,09:42:35
Park View City,09:44:05,09:44:25
Shahzad Town,09:46:55,09:47:15
N.I.H Allergy Center,09:48:50,09:49:10
N.A.R.C Colony,09:51:20,09:51:40
Rawal Dam Colony,09:52:40,09:53:00
School Board Stop,09:53:55,09:54:15
Rawal Town,09:55:45,09:56:05
Garden Avenue,09:57:45,09:58:05
Margalla Town,10:00:35,10:00:55
ITP Driving License Centre,10:03:25,10:03:45
Faizabad,10:06:40,10:07:00
Kach Naar Park I-8,10:09:30,10:09:50
H-8,10:12:00,10:12:20
TNT,10:14:35,10:14:55
Children Hospital,10:15:00,10:15:20
PIMS Hospital,10:16:15,10:16:15
Capt. Naeem Tufail Shaheed Chow,09:50:00,09:50:00
Tamma Stop,09:51:30,09:51:50
COMSATS University,09:53:40,09:54:00
Hostel City,09:55:40,09:56:00
Gulshan Al Huda Community,09:58:00,09:58:20
Chatta Bakhtawar,09:59:55,10:00:15
Green Avenue,10:02:15,10:02:35
Park View City,10:04:05,10:04:25
Shahzad Town,10:06:55,10:07:15
N.I.H Allergy Center,10:08:50,10:09:10
N.A.R.C Colony,10:11:20,10:11:40
Rawal Dam Colony,10:12:40,10:13:00
School Board Stop,10:13:55,10:14:15
Rawal Town,10:15:45,10:16:05
Garden Avenue,10:17:45,10:18:05
Margalla Town,10:20:35,10:20:55
ITP Driving License Centre,10:23:25,10:23:45
Faizabad,10:26:40,10:27:00
Kach Naar Park I-8,10:29:30,10:29:50
H-8,10:32:00,10:32:20
TNT,10:34:35,10:34:55
Children Hospital,10:35:00,10:35:20
PIMS Hospital,10:36:15,10:36:15
Capt. Naeem Tufail Shaheed Chow,10:10:00,10:10:00
Tamma Stop,10:11:30,10:11:50
COMSATS University,10:13:40,10:14:00
Hostel City,10:15:40,10:16:00
Gulshan Al Huda Community,10:18:00,10:18:20
Chatta Bakhtawar,10:19:55,10:20:15
Green Avenue,10:22:15,10:22:35
Park View City,10:24:05,10:24:25
Shahzad Town,10:26:55,10:27:15
N.I.H Allergy Center,10:28:50,10:29:10
N.A.R.C Colony,10:31:20,10:31:40
Rawal Dam Colony,10:32:40,10:33:00
School Board Stop,10:33:55,10:34:15
Rawal Town,10:35:45,10:36:05
Garden Avenue,10:37:45,10:38:05
Margalla Town,10:40:35,10:40:55
ITP Driving License Centre,10:43:25,10:43:45
Faizabad,10:46:40,10:47:00
Kach Naar Park I-8,10:49:30,10:49:50
H-8,10:52:00,10:52:20
TNT,10:54:35,10:54:55
Children Hospital,10:55:00,10:55:20
PIMS Hospital,10:56:15,10:56:15
Capt. Naeem Tufail Shaheed Chow,10:30:00,10:30:00
Tamma Stop,10:31:30,10:31:50
COMSATS University,10:33:40,10:34:00
Hostel City,10:35:40,10:36:00
Gulshan Al Huda Community,10:38:00,10:38:20
Chatta Bakhtawar,10:39:55,10:40:15
Green Avenue,10:42:15,10:42:35
Park View City,10:44:05,10:44:25
Shahzad Town,10:46:55,10:47:15
N.I.H Allergy Center,10:48:50,10:49:10
N.A.R.C Colony,10:51:20,10:51:40
Rawal Dam Colony,10:52:40,10:53:00
School Board Stop,10:53:55,10:54:15
Rawal Town,10:55:45,10:56:05
Garden Avenue,10:57:45,10:58:05
Margalla Town,11:00:35,11:00:55
ITP Driving License Centre,11:03:25,11:03:45
Faizabad,11:06:40,11:07:00
Kach Naar Park I-8,11:09:30,11:09:50
H-8,11:12:00,11:12:20
TNT,11:14:35,11:14:55
Children Hospital,11:15:00,11:15:20
PIMS Hospital,11:16:15,11:16:15
Capt. Naeem Tufail Shaheed Chow,10:50:00,10:50:00
Tamma Stop,10:51:30,10:51:50
COMSATS University,10:53:40,10:54:00
Hostel City,10:55:40,10:56:00
Gulshan Al Huda Community,10:58:00,10:58:20
Chatta Bakhtawar,10:59:55,11:00:15
Green Avenue,11:02:15,11:02:35
Park View City,11:04:05,11:04:25
Shahzad Town,11:06:55,11:07:15
N.I.H Allergy Center,11:08:50,11:09:10
N.A.R.C Colony,11:11:20,11:11:40
Rawal Dam Colony,11:12:40,11:13:00
School Board Stop,11:13:55,11:14:15
Rawal Town,11:15:45,11:16:05
Garden Avenue,11:17:45,11:18:05
Margalla Town,11:20:35,11:20:55
ITP Driving License Centre,11:23:25,11:23:45
Faizabad,11:26:40,11:27:00
Kach Naar Park I-8,11:29:30,11:29:50
H-8,11:32:00,11:32:20
TNT,11:34:35,11:34:55
Children Hospital,11:35:00,11:35:20
PIMS Hospital,11:36:15,11:36:15
Capt. Naeem Tufail Shaheed Chow,11:10:00,11:10:00
